Season,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,Range,Def
2025,"Tigers","---",1650,1.435825998429209,-1,1,-1,0,1,-2,0,0,,,,,,,0.3950000023469329,1,1,-0.3093525210078394
2020,"Red Sox","---",4716,-0.7235809891135432,2,2,-1,6,1,-2,-4,1,4.7127457074820995,0.32177787087857723,-1.5545508199429605,-6.01248401292105,-2.5325258104130626,0.9407037457574486,1.6400000434368849,-5,-3,-0.3203195158661849
2015,"Diamondbacks","---",13200,-12.009970912709832,-4,-3,4,-2,8,68,-1,60,-4.748512068763375,-0.6834673210978508,19.739911293261684,2.7670415532520565,17.07486024440732,1.251976388705443,-14.509999938309193,,,-0.4251949884314339
2017,"Diamondbacks","---",12969,8.859644993208349,-1,-1,-1,-14,0,25,0,17,-10.175316738546826,-1.5997680253349245,0.16294465656392276,-10.070801721376483,-21.682935959448514,-5.626807671043769,3.454999986104667,1,1,-0.4320946060376958
2018,"Rays","---",13035,-5.454174002690706,1,-5,3,4,3,19,24,40,-3.3073209521826357,-1.132280983030796,20.523605505470186,-7.188350727898069,8.895642750576371,0.44102233177523725,-12.104999981820583,0,2,-0.7019228206855317
2024,"Cardinals","---",12996,-5.523238011228386,-1,-5,12,-6,2,6,33,29,-6.367825536988676,2.39562649698928,8.129813487641513,-9.349421104969224,-5.191807565744966,-1.6349778722192623,-4.524999947287142,15,12,-0.7682600662896233
2022,"Tigers","---",12777,-12.60758003871888,-1,-2,4,-8,5,11,26,25,-7.274732179939747,0.4430853594094515,10.168071997366496,-14.395846581268415,-11.059422190708574,-2.480437800709653,-9.204999922774732,13,9,-0.8591577433018909
2025,"Dodgers","---",1746,-1.2133640092797577,1,-1,0,3,3,5,3,13,,,,,,,-0.784999986179173,1,0,-0.8666556048837195
2025,"Rangers","---",1647,-0.01796200079843402,0,0,1,1,-4,5,6,5,,,,,,,0.7299999967217445,1,1,-0.9215490305905489
2025,"Red Sox","---",1767,2.381773008964956,1,-1,1,4,-1,-6,2,3,,,,,,,1.9900000179186463,-6,-5,-1.1343800721761332
2025,"Phillies","---",1683,-1.115345003316179,1,1,0,-2,0,-11,-4,-16,,,,,,,-0.9399999668821692,1,1,-1.2833011323316024
2025,"Rockies","---",1458,-1.1203640112653375,0,1,2,0,1,-6,2,-4,,,,,,,-1.6100000012665987,-1,0,-1.2858346338396933
2025,"Twins","---",1638,-1.3690200001001358,0,-1,0,3,1,1,0,4,,,,,,,-0.9349999986588955,-1,0,-1.5026470508296514
2023,"Astros","---",13008,-19.643796956166625,0,2,7,1,13,1,14,15,4.2018169313669205,3.077896161004901,12.694868110178504,-7.395401515066624,12.579181240871549,3.3176204526207536,-18.100000243633986,8,7,-1.7831142365547628
2021,"Brewers","---",12924,5.47954112890875,0,2,-4,3,2,23,31,61,3.33949167560786,-4.655326500535011,30.93357111979276,1.4716640249826014,31.089399363379925,4.461386536944474,12.450000245124102,-20,-13,-1.8466104843440068
2016,"Mets","---",13023,8.63133193925023,-2,-2,-2,3,7,-17,12,3,3.721549628302455,4.630819756537676,-7.325480708735995,3.7064086440841493,4.733312028925866,1.8084292694886583,19.499999709427357,-33,-26,-1.9083571872576037
2020,"Rockies","---",4737,-1.3046220326796174,1,-1,2,-5,4,21,-2,16,0.5485967546119355,2.2675482854247093,7.7079862172249705,6.090116526513157,16.61424415250076,4.094213651792064,-2.3200000002980232,3,2,-1.9175059805623709
2025,"Mets","---",1674,0.07220099703408778,0,3,-2,-1,3,-2,3,6,,,,,,,0.3250000234693289,-4,-3,-1.9490463919024315
2019,"Rockies","---",13038,-15.045885996660218,1,2,3,-12,7,34,13,40,-10.92334596067667,0.7564020976424217,3.2953316047787666,-3.9081177085172385,-10.779692297335714,-2.8942095493652453,-12.539999830536544,13,7,-1.9862162517581616
