Season,Team,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
2019,STL,704,162,1444,8.719529743626367,3.396814660669314,1.1904433030969521,0.2828674948240166,0.75800319,0.449101796,0.145136778,93.88046149,3.820637407321632,,4.271488779855213,4.364837083746251,14.918561653234065
2023,CIN,767,162,1439.1,8.635248740148441,3.8330249657574176,1.388142809784905,0.3000249190132071,0.7179969,0.386819484,0.130511463,94.13527153866697,4.833488252,,4.787694532863187,4.736525930813616,14.870118685532361
2013,NYY,590,162,1447.1,7.667204636576253,2.717411537861981,1.0633349495981663,0.3024079320113314,0.74620722,0.440303657,0.114842175,92.66629837978745,3.942423146463377,,3.891474891407369,3.7610296849530007,14.821310693165287
2024,PIT,675,162,1438.2,8.482855083,3.221733309721982,1.038461610512328,0.29799356,0.70828055,0.415284787,0.104534005,95.31280341933828,4.172613820552548,,4.032559541809448,4.201514152058535,14.805603287182748
2024,NYY,683,162,1452.2,9.026848141956554,3.302203198121375,1.1213860766603543,0.2817665289256198,0.74713345,0.418326693,0.114195583,94.50860279028375,3.760670433883067,,4.062762572526616,4.092730444380029,14.788991697249003
2023,CLE,707,162,1444,8.171053171227392,3.3282550674564666,1.0782549188576194,0.28932515337423315,0.73164975,0.409263657,0.106461538,93.44087708067258,3.9702218688572457,,4.212104134616679,4.5152181436721825,14.779026883654296
2021,OAK,666,162,1433,8.365667041077874,2.7571530263011907,1.1995813850194248,0.29028259791769956,0.73735603,0.402731193,0.118119975,93.18598061277156,4.019539719436816,,4.0967613355594175,4.354942483877546,14.709824925288558
2023,NYY,665,162,1439.2,8.995833123793629,3.175735390470579,1.2190322857121318,0.2796676188003116,0.7330402,0.436191425,0.129482071,95.03271045260156,3.969669238088224,,4.252493557378905,4.221200020217614,14.683947822777554
2015,TBR,692,162,1453.1,8.391055701567415,2.953899313393105,1.0837156810142419,0.2836155378486056,0.75062814,0.417657045,0.11174968,93.63842458774388,3.7403672647577264,,3.9138690403302543,3.9385746942818862,14.68287938227877
2024,LAD,727,162,1445.2,8.653447629349275,3.118976448,1.2326493745404004,0.2754291570586728,0.73656399,0.406620553,0.123057799,94.61838823851443,3.9158406898278373,,4.1777779744615495,4.080121656754373,14.561300195287913
2013,MIA,633,162,1460,7.255479953234819,3.2424659774014573,0.7458904624820842,0.29220023282887075,0.73218701,0.452707413,0.083795013,93.86245933366237,3.7109591604480556,,3.6903201736429025,3.9641047259224447,14.550807866849937
2014,LAA,705,162,1482.2,8.146133540757123,3.0593526859475335,0.7648381714868834,0.2849903474903475,0.73279925,0.416885284,0.079847908,92.65888932276205,3.581385088708422,,3.5740237756429694,3.784686026955647,14.521015972131863
2018,MIL,722,163,1461,8.796715509454367,3.4065712021906616,1.0657085316075667,0.27853295716850474,0.74441992,0.431520644,0.124639769,92.66007057868981,3.7330599430877776,,4.005743095707931,4.035477360446848,14.489173892419785
2013,TBR,648,163,1464,8.053279487,2.9631150479145183,0.9405738637570982,0.2843857072931963,0.73586983,0.445852259,0.105517241,93.70651281408361,3.737705288655658,,3.7111058077260477,3.705588278995224,14.476845172001049
2021,TOR,698,162,1405.1,9.401329200448648,3.029174871806683,1.3384726177750461,0.28393389325386076,0.75509125,0.430118617,0.144837144,93.53334792361775,3.9065468748458283,,4.184028529872379,4.062331090451357,14.468432708643377
2016,SEA,638,162,1457,8.141386918344766,2.841455221880571,1.3157173092620904,0.2918800292611558,0.74870912,0.433576299,0.137508069,93.46860023355897,3.996568540340716,,4.298241992097993,4.168534061495125,14.453279551584274
2024,HOU,672,161,1432,9.295391711647024,3.4189946525598254,1.1501397452545001,0.28125833111170356,0.75245778,0.420579933,0.123648648,94.30311359872091,3.752095234518779,,4.029608330284064,3.930985726464071,14.407508759944903
2018,STL,727,162,1455.1,8.268209611978797,3.6672014210197657,0.8905177143791674,0.2929782082324455,0.72997131,0.446462715,0.105263157,93.67644183040338,3.8527259448487587,,3.9698682019623828,4.236068033526162,14.40711507294327
2012,NYM,667,162,1434,7.782427375546566,3.0627617413441324,1.010460328599191,0.29035362039932644,0.71052317,0.426252983,0.104885993,91.31489858160289,4.092050523271259,,3.9291801925702003,4.041289546,14.339397841133177
2017,PHI,668,162,1441,8.175573350135338,3.2914645955090323,1.3802916045683038,0.3037667071688943,0.73018954,0.428537846,0.141304347,93.42036344478151,4.5655799228028515,,4.562913952258522,4.499800171790869,14.33315667
2012,MIL,674,162,1453.2,8.680119595566461,3.2504014177406506,1.0463196944727047,0.31301602719766874,0.72071565,0.437888198,0.120542082,92.22388903471551,4.222426222664998,,3.824330593279956,3.729045649843015,14.302386374212801
2014,MIN,653,162,1435,6.466202695439853,2.558885256779302,0.9219513057513661,0.3145601397074875,0.68875327,0.41783029,0.08581436,92.09152360594307,4.578397640806104,,3.974064094088239,4.117754856,14.29930082
2011,BOS,606,162,1457.1,7.491079895038929,3.334858320957149,0.9634035149431763,0.28517558331369314,0.70825833,0.423032273,0.091281451,92.84642706860792,4.199451218983076,,4.049174066618912,4.130791460296655,14.269792890176177
2023,TEX,629,162,1436.1,8.465305935877653,3.0765841706261496,1.2406591971160439,0.28833418237391745,0.7262291,0.419638495,0.124921135,93.87990038245457,4.279647634496253,,4.314683063206733,4.347100701309461,14.256123481784016
2011,ATL,672,162,1479.2,8.101825428,3.1689572432568025,0.76030644,0.288135593,0.75158868,0.475499524,0.091844232,92.64631639366131,3.485244722430226,,3.4869767735499115,3.5442641401989676,14.232100453227758
2014,TOR,611,162,1443,7.4781712114843355,3.056133355819286,0.941788034,0.2936750529038326,0.7265499,0.429493087,0.093556381,92.35146223,4.004158396808126,,3.9680110863692417,3.990073716651558,14.228280164301395
2019,TEX,661,162,1438,8.630737635926348,3.6488180143183904,1.5083450110647205,0.31217838765008576,0.70468699,0.417913938,0.154487179,93.67532563107363,5.088317402471444,,4.8370971916255066,4.816346965001655,14.22693599993363
2016,SFG,737,162,1460.1,8.067336714347409,2.7055468430851892,0.9737503444361273,0.286865234,0.74336172,0.453214971,0.108367626,92.66844693088814,3.691623141248356,,3.756695092331477,4.013106353459907,14.213438801467419
2023,DET,697,162,1442.1,8.573608455739958,2.9701874999506694,1.1668593749806202,0.28424485699949825,0.69814417,0.428882965,0.119565217,93.03908158606332,4.2431249999295275,,4.129318239,4.236673561077514,14.187103816773742
2018,CHC,763,163,1476.1,8.126214189453728,3.791826876099189,0.9571009960571908,0.2843857072931963,0.76208594,0.449879518,0.114514952,92.41709871197529,3.645518443580892,,4.1351437720428725,4.286440441225479,14.118621641770005
2018,SFG,711,162,1461.1,7.815465937116896,3.227190032347717,0.9607664981798548,0.29330474148201097,0.7234116,0.444860688,0.109781843,92.25306081,3.9539236655863252,,3.9795466030695095,4.197802816070514,14.106238584965467
2014,TBR,656,162,1463.2,8.836029190486661,2.963789888527885,0.8915965432293429,0.2861062609129459,0.74094537,0.408078335,0.09090909,93.05695412831764,3.560237231239928,,3.5633613018183965,3.622359145895331,14.093467349695857
2010,NYM,653,162,1453,6.850654024270352,3.375774360965047,0.836200988,0.29566598593147264,0.74918743,0.448158253,0.083955223,91.24951050474483,3.7288370005522173,,3.995942935479942,4.139614032680455,14.053765654447488
2024,NYM,677,162,1442.1,9.079039383461918,3.6565753118272744,1.0295817857534133,0.2809373354397051,0.72278406,0.440132754,0.113091158,94.46690483553502,3.9560900131373584,,4.05046414,4.092770774861927,14.032002465071855
2021,SEA,746,162,1440.1,8.298079859460307,3.030548743854103,1.2309651598747593,0.28780730072013905,0.71105128,0.405069344,0.12138016,93.21222511,4.299005228395099,,4.257976821578009,4.4680391386679785,13.978730763308704
2023,STL,646,162,1428.1,7.655776747083324,3.3395569349416965,1.1278880968954033,0.3196453569762016,0.69419478,0.454094292,0.118700265,93.90730927091151,4.832905979434493,,4.428436045652685,4.544833568633879,13.959198434837162
2022,STL,628,162,1435.2,7.378454399220351,3.065475107237682,0.9152543264963222,0.2870593915982617,0.74243868,0.472287458,0.106569343,93.77415286069576,3.7926634762347597,,3.942010836409874,4.0326350036521115,13.913948567700572
2016,PHI,667,162,1437,8.135699753671611,2.9185805120946657,1.3340292898630126,0.30358006773101115,0.70488499,0.410214168,0.137685843,93.03241645589885,4.640918797129072,,4.344890292673016,4.211058940151015,13.905316844582558
2024,CHC,658,162,1432.1,8.470096089,3.047475224871395,1.1373051870138609,0.282367758,0.73722812,0.418070818,0.112352576,93.50509583663492,3.7889228053555697,,4.043370702101587,4.101210275532613,13.87885652622208
2015,KCR,655,162,1452,7.190082965754702,3.030991870908663,0.9607438445620506,0.28594924812030076,0.75,0.42771501,0.098726114,93.25123049018208,3.7376034727155907,,4.041307289163284,4.249164216,13.825135725550354
2010,CHC,644,162,1436.2,7.943388130989483,3.790023517,0.9647332588110255,0.29838326200665716,0.7040893,0.432948385,0.095415117,91.57519295826411,4.241067637760158,,4.105220701916985,4.083699729360182,13.793982577743009
