Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2024,"ARI",162,2436,6284,211,886,845,119,0.090547422,0.201304901,0.177109743,0.30179961,0.262948207,0.337285691,0.44005795,0.3365652027867907,,114.5101097089799,12.513389326632023,121.53463728807368,-4.670961312949657,33.700012440021055
2011,"TEX",162,2186,6261,210,855,807,143,0.075866475,0.148538572,0.177416505,0.304071803,0.282558755,0.339601414,0.45997526,0.34736952366265533,,111.93988834564962,20.626719136256725,107.39542096961695,5.12677238881588,33.68561199824226
2012,"NYY",162,2367,6231,245,804,774,93,0.090675653,0.18873375,0.188450398,0.293111753,0.264663287,0.336935483,0.453113685,0.3415225519510196,,113.0764302120684,2.3243409395217896,97.24892320345562,13.685873673297465,33.62508637118675
2024,"NYY",162,2304,6245,237,815,782,88,0.107606084,0.212329863,0.180550459,0.28270791,0.248073394,0.332851637,0.428623853,0.3306241205952622,,116.63600696578001,-16.996424714976456,101.87764838581775,14.89638977823779,33.602066575636435
2022,"TOR",162,2445,6158,200,775,756,67,0.081195193,0.20168886,0.16759676,0.304872165,0.263546354,0.328666775,0.431143114,0.3313472821020185,,117.92815172644045,-3.1551749571226537,121.0794195249378,2.960110333748162,33.47826788054654
2012,"LAA",162,2267,6121,187,767,732,134,0.073354027,0.181833033,0.158598266,0.311199438,0.274205202,0.331631812,0.432803468,0.33130768294526913,,113.49148355862737,13.51162627292797,109.77031344471641,2.521684001199901,33.37887225515873
2021,"SFG",162,2597,6196,241,804,768,66,0.097159457,0.235797288,0.191138777,0.295250659,0.248993042,0.329002923,0.440131819,0.3294959891530821,,108.19583703513891,-8.956521090702154,55.52521302648995,65.43992687109858,32.97552528007653
2018,"HOU",162,2348,6146,205,797,763,71,0.09192971,0.19476082,0.170364937,0.28930664,0.254905556,0.329196603,0.425270493,0.3265826866628692,,109.78415102705306,0.8233421961012937,72.44353577817897,35.58111432287842,32.704520410700006
2018,"BOS",162,2345,6302,208,876,829,125,0.090288797,0.198825769,0.185132491,0.309026128,0.268362084,0.338840349,0.453494575,0.3395622403396477,,110.53103533699243,0.02408590796403587,79.20941660422292,22.366775054484606,32.588586587232555
2014,"LAD",162,2364,6231,134,718,686,138,0.083293211,0.199967902,0.14028777,0.317783566,0.265467625,0.332524664,0.405755395,0.32668205241778797,,111.73632452907864,-0.40471138432621956,81.41382855204246,24.307657474483676,32.29555656219152
2023,"LAD",162,2421,6333,249,906,877,105,0.101689562,0.214590241,0.197320782,0.294353826,0.257422157,0.34024043,0.454742939,0.3411892221554766,,116.03215342802632,0.3326458891388029,126.09922400071048,-17.523984282743186,32.291213683553536
2019,"MIN",162,2320,6392,307,939,906,28,0.082133917,0.208698372,0.224180041,0.300096805,0.269888346,0.337513716,0.494068387,0.34687732080874784,,116.39827427080644,-10.24944745755056,123.4848692767861,-26.448481023311615,31.906672376189082
2023,"TBR",162,2353,6164,230,860,827,160,0.08338741,0.230369889,0.185084377,0.308284175,0.259843948,0.331438778,0.444928325,0.33521079691497896,,117.10434999254566,6.655249505143729,132.98387850248776,-25.71506235189736,31.797468534871157
2010,"NYY",162,2313,6379,201,859,823,103,0.103778021,0.178084339,0.169211425,0.300421151,0.266750493,0.349826662,0.435961918,0.34614328616394674,,111.93497172762835,12.080615205690265,101.49251456876524,-19.776036858558655,31.51097321718585
2022,"STL",162,2355,6165,197,772,739,95,0.087104622,0.198864557,0.16794032,0.288732394,0.252183406,0.325267944,0.420123726,0.3259408037042315,,111.60946249586341,3.5031023070332594,86.64560495815644,0.588425996596925,31.424323858064067
2014,"PIT",162,2362,6224,156,682,659,104,0.083547557,0.199871465,0.145050578,0.306880843,0.259393063,0.329713081,0.404443641,0.324547555221562,,108.30079314269445,3.82073298166506,61.572704632118835,35.691244838846615,31.344609874939234
2022,"NYM",162,2340,6176,171,772,735,62,0.08257772,0.197053108,0.152851157,0.301809408,0.259063581,0.332087733,0.411914738,0.32574238287099616,,113.47494939755123,-8.188713644631207,88.4046623768877,-4.086200268007815,31.15792653657632
2016,"BOS",162,2284,6320,208,878,836,83,0.088291139,0.183544303,0.179365079,0.320128972,0.281834215,0.348439233,0.461199294,0.3464988331629893,,113.1168564814419,1.5794361785519868,100.83929505921303,-13.330093357362784,30.835283964676044
2010,"TBR",162,2361,6270,160,802,769,172,0.107177033,0.206060606,0.156094871,0.292532146,0.246920389,0.332851405,0.40301526,0.3259692970449834,,105.5757553947476,37.614711369387805,78.54099837162528,0.3865925818681717,30.828115849506172
2014,"LAA",162,2468,6284,155,773,729,81,0.07829408,0.201464035,0.147027601,0.305484247,0.259023354,0.322147651,0.406050955,0.32069940132447344,,109.59040712787238,1.2993492176756263,67.26431732998876,16.02706203982234,30.819746927509826
2019,"NYY",162,2312,6245,306,943,904,55,0.09111289,0.230104083,0.222461042,0.306480764,0.26741895,0.338626884,0.489879992,0.34639191979415324,,116.7761415557058,-2.138071157038212,131.18495921102112,-40.28062180057168,30.79405623282356
2011,"MIL",162,2292,6113,185,721,693,94,0.07868477,0.177163422,0.163943455,0.292919725,0.261061134,0.32498341,0.425004589,0.32671006805228386,,102.92378678790173,0.34631505655124784,20.610392139692934,82.93004672788084,30.745652778402675
2011,"ARI",162,2230,6096,172,731,702,133,0.087106299,0.204888451,0.162885077,0.293825936,0.250322818,0.322361892,0.413207895,0.3215508621376915,,96.7134048726307,8.977718565613031,-14.810799886714673,116.90650502219796,30.537785147056958
2022,"HOU",162,2279,6054,214,737,715,83,0.087215064,0.194747274,0.176002958,0.277723016,0.247920133,0.319423745,0.423923091,0.3239584056825421,,113.02522509987489,-5.701291207689792,82.99820297001483,14.787866509548621,30.37630099241669
2021,"TBR",162,2389,6213,222,857,810,88,0.094157411,0.24818928,0.186308335,0.294397463,0.242600326,0.321192586,0.428908661,0.32241813426034743,,108.7515153559129,10.583370956825092,77.02051755991282,11.812395656481385,30.254928409835447
2010,"MIL",162,2262,6304,182,750,710,81,0.086611675,0.192893401,0.161434177,0.303794485,0.262397431,0.334716017,0.423831608,0.33402199040785774,,104.32111460821916,0.5629839147441089,32.43088262441944,61.60972222778946,29.743189638313893
2017,"LAD",162,2464,6191,221,770,730,77,0.104829591,0.222904215,0.187684912,0.292847854,0.249075443,0.334469881,0.436760355,0.32963331570302634,,104.41492208266932,-1.078361651103478,33.7684537238259,51.434006552387814,29.691221592956484
2021,"TOR",162,2383,6070,262,846,816,81,0.081713344,0.200658978,0.200328707,0.295956338,0.265704894,0.330472103,0.466033601,0.34032781292948794,,112.48049805612571,1.0082472958602011,93.24647443274769,-5.628225820604712,29.641795363111186
